date,sentiment_score
2012-07-24,0.09972222222222221
2012-07-25,-0.011588235294117651
2012-07-26,-0.37545
2012-07-27,0.3607307692307692
2012-07-30,0.12795
2012-07-31,0.025507142857142857
2012-08-01,0.24793846153846152
2012-08-02,0.1505181818181818
2012-08-06,-0.06658823529411764
2012-08-07,-0.06108
2012-08-08,-0.2624066666666666
2012-08-09,0.11612
2012-08-10,0.0918470588235294
2012-08-13,0.33155
2012-08-14,0.31556666666666666
2012-08-15,0.027031250000000007
2012-08-16,0.06582727272727272
2012-08-17,0.26592105263157895
2012-08-20,0.08931562500000001
2012-08-21,0.08813809523809524
2012-08-22,0.23278000000000001
2012-08-23,0.20239473684210527
2012-08-24,0.028821052631578935
2012-08-27,0.22143636363636363
2012-08-28,0.02986521739130435
2012-08-29,0.10866153846153849
2012-08-30,-0.1426125
2012-08-31,0.22455833333333333
2012-09-01,0.5234333333333333
2012-09-02,0.048600000000000004
2012-09-03,0.4643
2012-09-04,0.16070192307692308
2012-09-05,0.03619523809523809
2012-09-06,0.14357857142857142
2012-09-07,-0.2119642857142857
2012-09-10,0.23026923076923078
2012-09-11,0.06783
2012-09-12,-0.21575454545454545
2012-09-13,-0.06998846153846153
2012-09-14,0.023573684210526313
2012-09-17,0.11491891891891891
2012-09-18,-0.011242857142857146
2012-09-19,0.06887499999999999
2012-09-20,0.33388666666666666
2012-09-21,0.188925
2012-09-24,0.1846565217391304
2012-09-25,0.018848275862068966
2012-09-26,0.24422222222222223
2012-09-27,0.17207857142857144
2012-09-28,0.36465000000000003
2012-10-01,0.22661111111111112
2012-10-02,0.10664347826086956
2012-10-03,0.208275
2012-10-04,0.3486342105263158
2012-10-05,0.5186875
2012-10-08,0.1051190476190476
2012-10-09,0.06352325581395349
2012-10-10,0.1843
2012-10-11,0.016247457627118645
2012-10-12,0.277086
2012-10-13,0.20446666666666666
2012-10-14,0.16687
2012-10-15,0.21774861111111113
2012-10-16,0.15735274725274725
2012-10-17,-0.02553916666666666
2012-10-18,0.12747848101265824
2012-10-19,0.10400000000000001
2012-10-20,0.39433333333333326
2012-10-21,-0.1392875
2012-10-22,0.10524786324786325
2012-10-23,-0.027324193548387086
2012-10-24,0.3792857142857143
2012-10-25,0.3085525423728813
2012-10-26,0.19044117647058825
2012-10-27,-0.02873333333333335
2012-10-28,-0.2752357142857143
2012-10-29,0.026749999999999996
2012-10-30,0.22594153846153844
2012-10-31,0.31813731343283586
2012-11-01,-0.07298461538461537
2012-11-02,0.02316296296296296
2012-11-03,-0.01019000000000001
2012-11-04,-0.10839583333333334
2012-11-05,0.16616385542168677
2012-11-06,0.08284130434782608
2012-11-07,0.07639375
2012-11-08,0.19736
2012-11-09,0.11396500000000001
2012-11-10,0.34951
2012-11-11,0.1598
2012-11-12,0.20752916666666668
2012-11-13,0.14792222222222223
2012-11-14,0.38902000000000003
2012-11-15,0.3535732394366197
2012-11-16,0.2622333333333333
2012-11-19,0.21233
2012-11-20,0.23463235294117646
2012-11-21,0.35530625
2012-11-24,-0.32695
2012-11-25,-0.32695
2012-11-26,0.09723157894736842
2012-11-27,0.1630707317073171
2012-11-28,0.41102307692307694
2012-11-29,0.29796923076923076
2012-11-30,0.4848272727272727
2012-12-03,0.32555
2012-12-04,0.34224827586206896
2012-12-05,0.20628591549295774
2012-12-06,0.25332477876106196
2012-12-07,0.17655925925925928
2012-12-10,0.19587466666666667
2012-12-11,0.10378867924528301
2012-12-12,0.2686772727272727
2012-12-13,0.47656666666666664
2012-12-14,-0.6808
2012-12-15,-0.013249999999999984
2012-12-17,0.07195333333333334
2012-12-18,0.2093551724137931
2012-12-19,0.12805238095238095
2012-12-20,0.24990540540540543
2012-12-21,0.31719565217391305
2012-12-23,0.4406111111111111
2012-12-24,0.7955
2012-12-26,0.2789428571428571
2012-12-27,0.15763999999999997
2012-12-28,0.41241388888888886
2012-12-31,0.09333333333333332
2013-01-01,0.04916363636363635
2013-01-02,0.19410000000000002
2013-01-03,0.18849272727272728
2013-01-04,0.38149583333333337
2013-01-07,0.3135025
2013-01-08,0.3582872340425532
2013-01-09,0.22360212765957446
2013-01-10,0.3443366666666667
2013-01-11,0.2515805555555556
2013-01-14,0.18592923076923076
2013-01-15,0.2023922077922078
2013-01-16,0.007367741935483884
2013-01-17,0.05784705882352942
2013-01-18,0.1833891891891892
2013-01-21,0.32118823529411766
2013-01-22,0.27736779661016947
2013-01-23,0.26579
2013-01-24,0.19854375000000002
2013-01-25,0.1430206896551724
2013-01-28,0.08971
